"No.","Channel Name","Channel Type","RX Frequency[MHz]","TX Frequency[MHz]","Power","Band Width","Scan List","TX Admit","Emergency System","Squelch Level","APRS Report Type","Forbid TX","APRS Receive","Forbid Talkaround","Auto Scan","Lone Work","Emergency Indicator","Emergency ACK","Analog APRS PTT Mode","Digital APRS PTT Mode","TX Contact","RX Group List","Color Code","Time Slot","Encryption","Encryption ID","APRS Report Channel","Direct Dual Mode","Private Confirm","Short Data Confirm","DMR ID","CTC/DCS Encode","CTC/DCS Decode","Scramble","RX Squelch Mode","Signaling Type","PTT ID","VOX Function","PTT ID Display"
"1","ENCRYPTED 1","Digital","451.01250","451.01250","High","12.5KHz","Main Scan","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","TEAMCALL","None","2","Slot 1","AES","KEY1","None","On","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"2","ENCRYPTED 2","Digital","456.08750","456.08750","High","12.5KHz","Main Scan","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","TEAMCALL","None","4","Slot 1","AES","KEY2","None","On","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"3","ENCRYPTED 3","Digital","462.11250","462.11250","High","12.5KHz","Main Scan","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","TEAMCALL","None","6","Slot 1","AES","KEY3","None","On","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"4","FRS 2","Analog","462.58750","462.58750","High","12.5KHz","Main Scan","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"5","FRS 22","Digital","462.72500","462.72500","High","12.5KHz","Main Scan","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","TEAMCALL","None","10","Slot 1","None","None","None","On","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"6","MARINE 16","Analog","156.80000","156.80000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"7","MARINE 9","Analog","156.45000","156.45000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"8","USCG 22A","Analog","157.10000","157.10000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"9","MARINE 68","Analog","156.42500","156.42500","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"10","MARINE 69","Analog","156.47500","156.47500","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"11","MARINE 71","Analog","156.57500","156.57500","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"12","MARINE 72","Analog","156.62500","156.62500","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"13","HYA TWR","Analog","119.50000","119.50000","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"14","HYA GND","Analog","118.45000","118.45000","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"15","HYA ATIS","Analog","123.80000","123.80000","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"16","GUARD","Analog","121.50000","121.50000","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"17","UNICOM","Analog","122.95000","122.95000","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"18","BCSO","Analog","155.56500","155.56500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"19","BREWSTR FD","Analog","453.55000","453.55000","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"20","CHAT FD","Analog","453.37500","453.37500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"21","COMM FD","Analog","453.73750","453.73750","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"22","COTUIT FD","Analog","453.38750","453.38750","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"23","DENNIS FD","Analog","453.32500","453.32500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"24","EASTHAM FD","Analog","453.80000","453.80000","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"25","HARWICH FD","Analog","460.55000","460.55000","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"26","HYANNIS FD","Analog","460.62500","460.62500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"27","ORLEANS FD","Analog","453.12500","453.12500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"28","PTOWN FD","Analog","453.27500","453.27500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"29","SAND FD","Analog","460.42500","460.42500","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"30","WELLFL FD","Analog","453.18750","453.18750","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"31","YARM FD","Analog","453.15000","453.15000","High","12.5KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"32","NOAA WX","Analog","162.47500","162.47500","High","25KHz","None","Always","None","3","None","On","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"33","2M CALL","Analog","146.52000","146.52000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"34","2M SIMP1","Analog","146.55000","146.55000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"35","2M SIMP2","Analog","147.42000","147.42000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"36","70CM CALL","Analog","446.00000","446.00000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"37","70CM SIM1","Analog","446.50000","446.50000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
"38","70CM SIM2","Analog","447.00000","447.00000","High","25KHz","None","Always","None","3","None","Off","Off","Off","Off","Off","Off","Off","Off","Off","None","None","1","Slot 1","None","None","None","Off","Off","Off","MrSI2","None","None","Off","Carrier","None","None","Off","Off"
