No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
1,ENCRYPTED 1,Digital,451.01250,451.01250,Low,12.5KHz,Scan List 1,Always,None,3,Digital,0,1,0,0,0,0,0,0,0,TEAMCALL,RXALL,2,Slot 2,1,KEY1,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
2,ENCRYPTED 1 TX,Digital,,451.01250,Low,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,TEAMCALL,None,2,Slot 1,1,KEY1,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
3,ENCRYPTED 2,Digital,456.08750,456.08750,Low,12.5KHz,Scan List 1,Always,None,3,Digital,0,1,0,0,0,0,0,0,0,TEAMCALL,RXALL,4,Slot 2,1,KEY2,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
4,ENCRYPTED 2 TX,Digital,,456.08750,Low,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,TEAMCALL,None,4,Slot 1,1,KEY2,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
5,ENCRYPTED 3,Digital,462.11250,462.11250,Low,12.5KHz,Scan List 1,Always,None,3,Digital,0,1,0,0,0,0,0,0,0,TEAMCALL,RXALL,6,Slot 2,1,KEY3,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
6,ENCRYPTED 3 TX,Digital,,462.11250,Low,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,TEAMCALL,None,6,Slot 1,1,KEY3,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
7,FRS 2,Analog,462.58750,462.58750,Low,12.5KHz,Scan List 1,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
8,FRS 22,Digital,462.72500,462.72500,Low,12.5KHz,Scan List 1,Always,None,3,Digital,0,1,0,0,0,0,0,0,0,TEAMCALL,RXALL,10,Slot 2,0,None,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
9,FRS 22 TX,Digital,,462.72500,Low,12.5KHz,None,Always,None,3,Digital,0,0,0,0,0,0,0,0,0,TEAMCALL,None,10,Slot 1,0,None,1,0,1,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
10,MARINE 16,Analog,156.80000,156.80000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
11,MARINE 9,Analog,156.45000,156.45000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
12,USCG 22A,Analog,157.10000,157.10000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
13,MARINE 68,Analog,156.42500,156.42500,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
14,MARINE 69,Analog,156.47500,156.47500,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
15,MARINE 71,Analog,156.57500,156.57500,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
16,MARINE 72,Analog,156.62500,156.62500,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
17,HYA TWR,Analog,119.50000,119.50000,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
18,HYA GND,Analog,118.45000,118.45000,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
19,HYA ATIS,Analog,123.80000,123.80000,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
20,GUARD,Analog,121.50000,121.50000,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
21,UNICOM,Analog,122.95000,122.95000,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
22,BCSO,Analog,155.56500,155.56500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
23,BREWSTR FD,Analog,453.55000,453.55000,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
24,CHAT FD,Analog,453.37500,453.37500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
25,COMM FD,Analog,453.73750,453.73750,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
26,COTUIT FD,Analog,453.38750,453.38750,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
27,DENNIS FD,Analog,453.32500,453.32500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
28,EASTHAM FD,Analog,453.80000,453.80000,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
29,HARWICH FD,Analog,460.55000,460.55000,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
30,HYANNIS FD,Analog,460.62500,460.62500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
31,ORLEANS FD,Analog,453.12500,453.12500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
32,PTOWN FD,Analog,453.27500,453.27500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
